heart_rate,cadence,power,core_temperature,skin_temperature
139,89,269,37.51,31.2
139,89,266,37.51,31.2
139,90,262,37.51,31.2
139,90,256,37.51,31.2
139,90,257,37.51,31.2
139,90,256,37.51,31.2
139,90,257,37.51,31.2
139,90,256,37.51,31.2
139,90,257,37.51,31.2
139,90,258,37.51,31.2
139,90,259,37.51,31.2
139,90,258,37.5,31.2
138,90,258,37.5,31.2
138,90,256,37.5,31.2
138,90,256,37.5,31.2
138,90,259,37.5,31.2
138,90,260,37.5,31.2
138,90,261,37.5,31.2
138,90,263,37.5,31.2
139,90,266,37.5,31.2
139,90,266,37.5,31.2
139,90,262,37.5,31.2
139,90,262,37.53,31.2
139,90,264,37.53,31.2
139,90,266,37.53,31.2
139,91,266,37.53,31.2
139,91,268,37.53,31.2
139,90,272,37.53,31.2
139,90,276,37.53,31.2
139,90,275,37.53,31.2
140,90,270,37.53,31.2
140,90,266,37.53,31.2
140,90,262,37.53,31.2
140,90,261,37.52,31.2
140,90,257,37.52,31.2
139,90,253,37.52,31.2
139,90,255,37.52,31.2
141,89,256,37.62,31.2
141,89,259,37.62,31.2
141,89,259,37.62,31.2
141,89,262,37.62,31.2
141,89,261,37.62,31.2
142,89,259,37.63,31.15
141,89,261,37.63,31.2
141,89,263,37.63,31.2
141,89,266,37.63,31.2
141,89,264,37.63,31.2
140,90,263,37.63,31.2
140,89,263,37.63,31.2
140,89,262,37.63,31.2
141,89,261,37.62,31.2
141,89,258,37.62,31.15
141,89,257,37.62,31.2
141,89,256,37.62,31.15
142,90,255,37.62,31.15
142,89,255,37.62,31.15
143,90,254,37.62,31.15
143,90,254,37.62,31.15
143,90,255,37.62,31.15
143,90,256,37.63,31.15
143,90,257,37.62,31.15
143,90,257,37.62,31.15
144,90,257,37.62,31.15
144,90,260,37.62,31.15
144,90,261,37.62,31.15
144,90,261,37.62,31.15
144,90,261,37.62,31.15
144,90,261,37.62,31.15
144,90,261,37.62,31.15
143,90,258,37.62,31.15
143,90,258,37.62,31.15
142,90,259,37.62,31.15
143,90,260,37.62,31.15
142,89,262,37.62,31.15
142,89,262,37.64,31.15
142,89,264,37.64,31.15
141,90,265,37.64,31.15
141,90,264,37.64,31.15
142,90,264,37.64,31.15
142,90,267,37.64,31.15
142,90,268,37.64,31.15
142,90,271,37.63,31.15
142,90,270,37.63,31.15
142,90,270,37.63,31.15
142,90,269,37.63,31.15
142,90,269,37.63,31.15
143,90,267,37.63,31.15
143,90,264,37.63,31.15
143,90,267,37.63,31.15
143,90,266,37.63,31.15
142,90,264,37.64,31.15
143,90,264,37.65,31.15
143,90,263,37.65,31.15
143,90,263,37.65,31.15
143,90,264,37.65,31.15
143,90,258,37.65,31.15
144,90,258,37.65,31.15
144,90,261,37.65,31.15
143,90,263,37.65,31.15
144,90,265,37.65,31.15
143,90,267,37.66,31.15
144,90,268,37.66,31.15
144,90,271,37.66,31.15
143,90,269,37.66,31.15
143,90,266,37.66,31.15
143,90,264,37.66,31.15
144,89,262,37.66,31.15
143,90,262,37.66,31.15
143,90,260,37.66,31.15
144,90,261,37.66,31.15
143,90,260,37.65,31.15
144,90,259,37.65,31.15
144,90,259,37.65,31.15
143,90,259,37.65,31.15
143,90,260,37.65,31.15
143,90,260,37.65,31.15
143,90,262,37.65,31.15
143,90,264,37.65,31.15
143,90,265,37.66,31.15
143,91,268,37.66,31.15
142,91,272,37.65,31.15
142,91,271,37.65,31.15
142,91,276,37.65,31.15
142,90,278,37.65,31.15
142,90,276,37.65,31.15
143,90,276,37.65,31.15
142,90,276,37.65,31.15
142,90,273,37.65,31.15
142,91,273,37.65,31.15
142,91,269,37.65,31.15
142,91,273,37.65,31.15
143,91,274,37.67,31.15
142,91,272,37.67,31.15
142,91,268,37.67,31.15
142,91,266,37.67,31.15
142,91,264,37.67,31.15
141,91,261,37.67,31.15
141,91,259,37.67,31.15
141,91,254,37.67,31.15
142,91,254,37.67,31.15
142,91,257,37.66,31.15
142,91,257,37.66,31.15
142,91,257,37.66,31.15
142,91,257,37.66,31.15
142,91,257,37.66,31.15
142,91,258,37.66,31.15
142,91,261,37.66,31.15
142,90,260,37.66,31.15
142,90,261,37.66,31.15
141,90,266,37.67,31.15
141,90,269,37.68,31.15
142,90,272,37.68,31.15
142,91,274,37.68,31.15
141,91,270,37.68,31.15
142,91,272,37.68,31.15
142,91,271,37.68,31.15
142,91,270,37.68,31.15
142,91,266,37.68,31.15
142,91,265,37.68,31.15
142,91,263,37.68,31.15
142,91,262,37.68,31.15
142,91,260,37.68,31.15
142,91,259,37.68,31.15
142,91,259,37.68,31.15
142,91,258,37.68,31.15
142,91,258,37.69,31.15
142,91,258,37.69,31.15
142,91,255,37.69,31.15
142,91,251,37.69,31.15
142,91,248,37.69,31.15
142,91,245,37.69,31.15
143,91,244,37.68,31.15
142,91,247,37.68,31.15
142,91,256,37.68,31.15
142,91,257,37.68,31.15
142,91,262,37.68,31.15
142,91,263,37.68,31.15
143,91,268,37.68,31.15
142,91,275,37.69,31.15
142,91,272,37.69,31.15
143,91,269,37.68,31.1
143,91,271,37.68,31.1
143,90,272,37.68,31.1
143,90,271,37.68,31.1
143,91,265,37.68,31.1
143,92,262,37.68,31.1
143,91,261,37.68,31.1
142,90,262,37.68,31.1
142,91,262,37.68,31.1
141,91,262,37.68,31.1
141,91,257,37.68,31.1
141,91,258,37.68,31.1
141,91,262,37.7,31.1
141,91,263,37.7,31.1
141,91,262,37.7,31.1
141,91,263,37.7,31.1
142,90,265,37.7,31.1
143,90,266,37.7,31.1
143,90,262,37.7,31.1
144,89,261,37.7,31.1
144,89,260,37.69,31.1
144,90,259,37.69,31.1
145,89,258,37.69,31.1
145,89,258,37.69,31.1
145,90,254,37.69,31.1
145,90,255,37.69,31.1
145,90,257,37.69,31.1
145,90,256,37.69,31.1
145,90,257,37.69,31.1
144,90,258,37.69,31.1
145,90,257,37.69,31.1
145,90,256,37.7,31.1
144,90,257,37.7,31.1
145,90,255,37.7,31.1
144,90,254,37.7,31.1
144,89,254,37.7,31.1
144,89,255,37.7,31.1
144,89,255,37.7,31.1
144,89,254,37.7,31.1
143,89,256,37.7,31.1
143,89,255,37.7,31.1
143,89,256,37.71,31.1
143,89,255,37.71,31.1
142,89,255,37.72,31.1
142,89,256,37.72,31.1
142,89,260,37.72,31.1
142,89,263,37.72,31.1
142,89,262,37.72,31.1
